Posted On,BHK,Rent,Size,Floor,City,Furnishing Status,Tenant Preferred,Bathroom
2022-05-12,2,7000,800,Ground out of 1,Hyderabad,Unfurnished,Bachelors/Family,2
2022-04-29,1,11000,500,Ground out of 4,Delhi,Unfurnished,Bachelors/Family,1
2022-05-12,2,25000,1200,1 out of 6,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-07-07,4,90000,2100,3 out of 3,Delhi,Semi-Furnished,Bachelors/Family,4
2022-07-06,1,6000,300,1 out of 2,Hyderabad,Unfurnished,Bachelors/Family,1
2022-05-05,2,35000,850,3 out of 6,Mumbai,Semi-Furnished,Family,2
2022-04-29,2,12000,1400,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-12,2,10000,600,4 out of 5,Bangalore,Furnished,Bachelors/Family,2
2022-07-04,3,30000,1100,3 out of 3,Delhi,Semi-Furnished,Bachelors/Family,2
2022-06-25,1,10000,300,10 out of 31,Hyderabad,Furnished,Bachelors/Family,1
2022-05-20,2,22000,1050,2 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-07-05,2,13000,1200,2 out of 5,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-05,3,18000,110,1 out of 5,Delhi,Unfurnished,Bachelors/Family,2
2022-06-20,1,4000,350,1 out of 1,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-17,3,16000,1420,Ground out of 1,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-20,1,6500,400,Ground out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-07-05,1,9000,890,4 out of 5,Hyderabad,Semi-Furnished,Bachelors,1
2022-05-26,1,24000,700,7 out of 7,Bangalore,Furnished,Bachelors/Family,1
2022-07-09,3,170000,1150,8 out of 12,Mumbai,Semi-Furnished,Bachelors/Family,3
2022-07-06,3,70000,1150,7 out of 41,Mumbai,Unfurnished,Bachelors/Family,3
2022-07-08,3,11000,800,Ground out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-10,1,7000,400,2 out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-05-19,2,18000,1300,Ground out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-05,1,8000,500,1 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-07-09,3,200000,1350,1 out of 5,Mumbai,Furnished,Bachelors,3
2022-05-31,2,53500,635,17 out of 20,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-27,2,30000,1000,2 out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-05-27,2,23000,1300,3 out of 4,Bangalore,Furnished,Bachelors/Family,2
2022-04-28,2,15000,1200,1 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-31,3,12000,1000,2 out of 2,Kolkata,Semi-Furnished,Bachelors/Family,3
2022-06-17,1,18000,225,18 out of 24,Mumbai,Unfurnished,Bachelors,2
2022-06-04,1,18000,800,Ground out of 2,Bangalore,Furnished,Bachelors/Family,1
2022-05-17,3,7000,900,1 out of 2,Kolkata,Semi-Furnished,Bachelors/Family,3
2022-06-04,2,13500,623,2 out of 3,Delhi,Furnished,Bachelors/Family,1
2022-06-20,3,42000,1600,3 out of 5,Bangalore,Semi-Furnished,Family,3
2022-05-30,2,6500,700,Ground out of 2,Kolkata,Unfurnished,Bachelors,1
2022-05-23,2,15000,700,1 out of 5,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-06-17,2,20200,84,2 out of 4,Delhi,Semi-Furnished,Bachelors,2
2022-04-30,2,8500,700,4 out of 14,Kolkata,Semi-Furnished,Bachelors/Family,1
2022-05-10,3,30000,2000,Ground out of 2,Delhi,Unfurnished,Bachelors/Family,3
2022-06-04,1,20000,400,3 out of 4,Delhi,Furnished,Bachelors/Family,1
2022-05-14,2,14000,700,2 out of 3,Bangalore,Unfurnished,Bachelors/Family,1
2022-07-01,2,10000,1000,2 out of 3,Hyderabad,Semi-Furnished,Bachelors,2
2022-07-06,2,55000,696,13 out of 21,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-06-03,2,12000,1020,1 out of 4,Bangalore,Unfurnished,Bachelors/Family,2
2022-05-29,1,8000,700,2 out of 2,Chennai,Semi-Furnished,Bachelors/Family,1
2022-06-27,2,9500,850,1 out of 2,Bangalore,Semi-Furnished,Bachelors,1
2022-05-25,2,7500,100,1 out of 3,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-23,1,5000,400,Ground out of 5,Kolkata,Semi-Furnished,Bachelors,1
2022-07-04,3,10500,1200,1 out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-05-18,2,42000,750,11 out of 21,Mumbai,Unfurnished,Bachelors,2
2022-06-17,2,6000,400,2 out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-29,2,60000,950,2 out of 8,Mumbai,Furnished,Bachelors,2
2022-05-30,2,5500,650,1 out of 1,Kolkata,Unfurnished,Bachelors/Family,2
2022-06-15,2,22999,756,2 out of 4,Delhi,Semi-Furnished,Bachelors,2
2022-05-06,2,16500,966,1 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-07-07,3,100000,2000,25 out of 50,Mumbai,Semi-Furnished,Bachelors/Family,4
2022-05-21,3,22000,1250,2 out of 3,Delhi,Semi-Furnished,Bachelors/Family,2
2022-06-28,4,330000,2000,11 out of 12,Mumbai,Semi-Furnished,Bachelors,5
2022-06-30,4,160000,4500,4 out of 4,Bangalore,Unfurnished,Bachelors,4
2022-06-04,3,56000,1900,6 out of 16,Bangalore,Unfurnished,Bachelors,3
2022-06-23,2,65000,550,1 out of 7,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-27,2,15000,1110,1 out of 2,Bangalore,Unfurnished,Bachelors,2
2022-06-06,3,18000,1450,1 out of 5,Hyderabad,Semi-Furnished,Family,3
2022-06-20,2,55000,850,3 out of 3,Mumbai,Semi-Furnished,Bachelors,2
2022-07-04,3,84500,1150,10 out of 12,Mumbai,Unfurnished,Family,3
2022-05-18,3,25000,1400,3 out of 4,Delhi,Unfurnished,Family,3
2022-04-30,2,13000,1200,3 out of 4,Hyderabad,Semi-Furnished,Bachelors/Family,2
2022-05-16,2,26000,1600,Ground out of 2,Chennai,Semi-Furnished,Bachelors/Family,2
2022-05-27,3,24000,1300,3 out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-07-02,2,20000,1600,1 out of 2,Hyderabad,Unfurnished,Family,3
2022-04-30,3,35000,1850,2 out of 3,Chennai,Semi-Furnished,Bachelors,3
2022-07-02,2,18000,900,1 out of 1,Chennai,Semi-Furnished,Bachelors,2
2022-07-06,3,52000,1603,26 out of 32,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-07-06,2,15000,1280,Ground out of 1,Hyderabad,Unfurnished,Bachelors/Family,3
2022-04-29,1,9000,500,3 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-06-14,2,16000,1000,1 out of 3,Chennai,Semi-Furnished,Bachelors/Family,2
2022-06-28,2,170000,1000,5 out of 9,Mumbai,Furnished,Bachelors/Family,3
2022-06-12,2,14000,600,2 out of 4,Delhi,Unfurnished,Bachelors,2
2022-04-29,2,13000,900,Ground out of 3,Delhi,Semi-Furnished,Bachelors/Family,2
2022-07-01,1,5200,300,Ground out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-25,1,8500,600,Ground out of 3,Chennai,Unfurnished,Bachelors/Family,2
2022-05-27,1,24000,650,3 out of 4,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-07-06,1,7500,850,3 out of 5,Hyderabad,Semi-Furnished,Bachelors,1
2022-05-02,2,20000,980,3 out of 3,Chennai,Unfurnished,Bachelors/Family,2
2022-06-05,1,8500,550,Ground out of 1,Chennai,Unfurnished,Bachelors,2
2022-06-17,1,8500,600,1 out of 4,Delhi,Semi-Furnished,Bachelors,1
2022-05-19,4,30000,1900,3 out of 5,Bangalore,Unfurnished,Bachelors/Family,3
2022-06-18,3,31000,900,3 out of 4,Delhi,Semi-Furnished,Bachelors/Family,2
2022-06-10,1,6500,400,1 out of 1,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-14,3,32000,1100,4 out of 5,Delhi,Semi-Furnished,Bachelors/Family,2
2022-05-01,2,11000,1100,Ground out of 5,Hyderabad,Unfurnished,Bachelors/Family,2
2022-07-09,2,12000,840,2 out of 4,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-04,2,13500,700,1 out of 3,Bangalore,Semi-Furnished,Bachelors,2
2022-05-30,1,8200,750,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-05-06,2,10000,600,1 out of 2,Chennai,Semi-Furnished,Family,1
2022-07-04,2,27000,1300,Ground out of 2,Delhi,Furnished,Bachelors/Family,2
2022-06-14,2,7000,60,1 out of 6,Hyderabad,Unfurnished,Bachelors/Family,2
2022-05-16,3,30000,2000,3 out of 3,Bangalore,Furnished,Bachelors/Family,2
2022-05-14,2,10000,1050,Ground out of 1,Kolkata,Unfurnished,Bachelors/Family,2
2022-07-05,3,21000,1360,1 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2022-05-17,2,5146,800,Ground out of 2,Kolkata,Unfurnished,Bachelors/Family,1
2022-06-27,3,16000,1550,1 out of 4,Hyderabad,Unfurnished,Bachelors/Family,3
2022-05-09,2,14000,585,2 out of 4,Delhi,Semi-Furnished,Bachelors/Family,1
2022-05-05,3,8500,900,Ground out of 2,Kolkata,Unfurnished,Bachelors,2
2022-05-27,2,12000,400,1 out of 4,Delhi,Unfurnished,Bachelors,1
2022-05-25,3,15000,704,5 out of 17,Mumbai,Unfurnished,Bachelors/Family,2
2022-05-25,2,10000,800,1 out of 2,Chennai,Semi-Furnished,Bachelors/Family,1
2022-06-02,2,19000,1124,1 out of 5,Hyderabad,Furnished,Bachelors/Family,2
2022-04-23,1,15000,1000,2 out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-26,2,39000,1283,5 out of 34,Hyderabad,Unfurnished,Bachelors,2
2022-07-04,2,7500,400,2 out of 3,Delhi,Semi-Furnished,Bachelors,1
2022-06-23,1,8500,500,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-04-29,2,65000,935,2 out of 7,Mumbai,Semi-Furnished,Bachelors/Family,2
2022-05-12,2,11000,750,3 out of 5,Hyderabad,Unfurnished,Bachelors/Family,2
2022-06-20,1,50000,400,10 out of 22,Mumbai,Semi-Furnished,Bachelors/Family,1
2022-06-29,2,12000,570,Ground out of 2,Chennai,Unfurnished,Bachelors/Family,2
2022-07-06,1,5000,300,Ground out of 2,Hyderabad,Unfurnished,Bachelors/Family,1
2022-06-30,2,8000,460,Ground out of 2,Kolkata,Unfurnished,Bachelors,1
2022-05-14,2,95000,825,17 out of 22,Mumbai,Furnished,Bachelors,2
2022-05-29,2,12000,900,1 out of 5,Bangalore,Unfurnished,Bachelors,2
2022-05-18,3,48000,2000,2 out of 4,Bangalore,Semi-Furnished,Bachelors/Family,3
2022-05-05,3,21000,1300,3 out of 3,Bangalore,Furnished,Bachelors/Family,2
2022-07-05,2,15000,1200,1 out of 1,Bangalore,Semi-Furnished,Bachelors/Family,1
2022-06-20,1,2200,700,1 out of 3,Kolkata,Unfurnished,Bachelors/Family,1
2022-05-19,2,22000,1040,1 out of 2,Delhi,Semi-Furnished,Bachelors,3
2022-05-28,1,11000,500,2 out of 5,Delhi,Semi-Furnished,Bachelors/Family,1
2022-06-28,2,15000,1100,3 out of 3,Bangalore,Unfurnished,Bachelors,2
2022-06-21,1,7500,550,2 out of 3,Bangalore,Semi-Furnished,Bachelors/Family,1
