Feature,VIF
Total Floors,4.234013540978404
Floor Level,3.6216907905795175
Bathroom,3.4600514251952594
BHK,3.211748380794309
Furnishing: Unfurnished,2.423869412471472
Furnishing: Semi-Furnished,2.3883453714458938
City: Mumbai,2.3275404861374005
log(Size),2.063852144210783
Day: Wed,2.015736729268704
Day: Thu,1.9639827951269135
Day: Fri,1.8990514959420044
Day: Sat,1.8912447889031732
City: Chennai,1.7361016674404326
City: Hyderabad,1.7349932919432938
City: Delhi,1.7152231544290966
Day: Tue,1.6712825535281735
City: Kolkata,1.5720248071037413
Day: Sun,1.5506252860423178
Tenant: Family,1.4958177603158516
Tenant: Bachelors/Family,1.4809152102960235
Quarter: Q3,1.1244939621647705
